product,category,hist_n,hist_cv,used_model,fallback_mode,residual_std,disable_stabilization,disable_clamping,noise_injection,direct_mode,features_count,time_steps
kursi siswa ll 506 tc,Kursi Siswa,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
kursi siswa ll 507 tc,Kursi Siswa,1,0.0,False,simple_random_walk,,,,,,,
kursi siswa ll 524 tc,Kursi Siswa,1,0.0,False,simple_random_walk,,,,,,,
kursi stacking dp 302 a,Kursi Stacking,1,0.0,False,simple_random_walk,,,,,,,
kursi stool st 01,Stacking Series,1,0.0,False,simple_random_walk,,,,,,,
kursi stool st 02,Stacking Series,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
kursi tunggu ll 515 4sa,Kursi Tunggu,4,0.841569225412212,True,,13.254716141811564,False,False,True,True,18.0,2.0
kursi tunggu vc 401 3s,Kursi Tunggu,3,0.4554245212694965,False,simple_random_walk,,,,,,,
lemari alat lc 02,Lemari Alat,3,0.4040608446519508,False,simple_random_walk,,,,,,,
lemari besi pintu kaca fc 10 900,Lemari,4,0.9263868986976743,True,,8.482230967587478,False,False,True,True,18.0,2.0
lemari besi sliding door fc 08,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari besi swing door fc 07 900,Lemari,3,0.4082480863398198,False,simple_random_walk,,,,,,,
lemari file fc 05,Filling Cabinet,3,0.0,False,simple_random_walk,,,,,,,
lemari file fc 07,Filling Cabinet,1,0.0,False,simple_random_walk,,,,,,,
lemari file fc 08,Filling Cabinet,5,0.938082964348093,True,,4.69041575982343,False,False,True,True,18.0,2.0
lemari file fc 10,Filling Cabinet,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
lemari hc 02 a 1000,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari hc 02 b 1200,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari hc 03 a 1000,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari hc 03 b 1200,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari hc 05 1200,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari hc 06 a 1000,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari hc 06 b 1200,Lemari,3,0.883883145027005,False,simple_random_walk,,,,,,,
lemari hc 07 a 1000,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari kunci lc 01 b,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari lc 03 800,Lemari,3,0.10101523280909974,False,simple_random_walk,,,,,,,
lemari pakaian cd 01,Lemari Pakaian,1,0.0,False,simple_random_walk,,,,,,,
lemari pakaian cd 02 1200,Lemari,3,0.4802330250647037,False,simple_random_walk,,,,,,,
lemari pakaian cd 03,Lemari,1,0.0,False,simple_random_walk,,,,,,,
lemari pakaian cd 03 1600,Lemari,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
lemari pembatas divider dc 01a 800,Lemari,1,0.0,False,simple_random_walk,,,,,,,
locker besi 12 laci fc 12,Locker,1,0.0,False,simple_random_walk,,,,,,,
locker besi 9 laci fc 09,Locker,1,0.0,False,simple_random_walk,,,,,,,
locker fc 12,Locker,1,0.0,False,simple_random_walk,,,,,,,
locker lr 02 1200,Locker,3,0.41594514093649027,False,simple_random_walk,,,,,,,
locker lr 03 800,Locker,1,0.0,False,simple_random_walk,,,,,,,
meja baca peorangan rt 01,Meja Baca,2,0.841269814562863,True,,26.5,False,False,True,True,18.0,1.0
meja kerja pt 01a 1200,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja kerja wdb 01 3000,Meja Kerja,3,0.7563195383776732,False,simple_random_walk,,,,,,,
meja kerja wdb 01 pd,Meja Kerja,5,1.1256251325625,True,,77.89326029895012,False,False,True,True,18.0,2.0
meja kerja wdb 02 1200,Meja Kerja,4,0.3526755864844434,True,,6.2599920127744575,False,False,True,True,18.0,2.0
meja kerja wdb 03 1400,Meja Kerja,4,0.849577854976359,True,,20.81465829649865,False,False,True,True,18.0,2.0
meja kerja wdb 04 p,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja kerja wdb 04 pd,Meja Kerja,4,0.14466583214995357,True,,21.591375593046404,False,False,True,True,18.0,2.0
meja kerja wdb 05,Meja Kerja,2,0.9101123390985991,True,,40.5,False,False,True,True,18.0,1.0
meja kerja wde 01 1600,Meja Kerja,3,0.3741656264277062,False,simple_random_walk,,,,,,,
meja kerja wde 01 2400,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja kerja wde 02 a 1600,Meja Kerja,3,0.6763629198702298,False,simple_random_walk,,,,,,,
meja kerja wde 03 1600,Meja Kerja,2,0.499999750000125,True,,1.0,False,False,True,True,18.0,1.0
meja kerja wde 04 1600,Meja Kerja,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
meja kerja wde 05 1600,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja kerja wde 05 1800,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja kerja wde 08 1600,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja kerja ws 05 1200,Meja Kerja,2,0.0,False,simple_random_walk,,,,,,,
meja kerja ws 05 1600,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja kerja ws 05 2000,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja kerja ws 05 2400,Meja Kerja,2,0.0,False,simple_random_walk,,,,,,,
meja kerja ws 05 3600,Meja Kerja,2,0.0,False,simple_random_walk,,,,,,,
meja komputer cd 01,Meja Komputer ,1,0.0,False,simple_random_walk,,,,,,,
meja komputer cd 02,Meja Komputer ,5,0.6730613270334118,True,,13.865064009949611,False,False,True,True,18.0,2.0
meja komputer cd 06,Meja Komputer ,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
meja komputer cd 08 a,Meja Komputer ,3,0.3347205785214026,False,simple_random_walk,,,,,,,
meja laboratorium lt 02 a,Meja Laboratorium,1,0.0,False,simple_random_walk,,,,,,,
meja laboratorium lt 03 a,Meja Laboratorium,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
meja lipat ft 01,Meja Lipat,4,0.5511889982562387,True,,10.059199769365355,False,False,True,True,18.0,2.0
meja lipat ft 02,Meja Lipat,3,0.6373772001826481,False,simple_random_walk,,,,,,,
meja makan dt 01,Meja Makan,7,0.6910197227842748,True,,1.6781914463529615,False,False,True,True,18.0,2.0
meja nakas ns 01,Meja Nakas,1,0.0,False,simple_random_walk,,,,,,,
meja podium pt 01b,Meja Podium ,3,0.9899491966764074,True,,3.2998316455372216,False,False,True,True,18.0,2.0
meja podium pt 02,Meja Podium ,1,0.0,False,simple_random_walk,,,,,,,
meja proyektor pd 01,Meja Proyektor,4,0.7788759134706018,True,,1.8498310733685928,False,False,True,True,18.0,2.0
meja rapat ct 01,Meja Kerja,2,0.8620689357907263,True,,25.0,False,False,True,True,18.0,1.0
meja rapat ct 01 01,Meja Rapat,1,0.0,False,simple_random_walk,,,,,,,
meja rapat ct 02,Meja Kerja,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
meja rapat ct 03,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja rapat ct 04,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja rapat ct 08 1600,Meja Kerja,2,0.3333331111112593,True,,0.5,False,False,True,True,18.0,1.0
meja rapat ct 08 3600,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
meja rapat ct 09 a,Meja Rapat,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
meja rapat ct 09 b,Meja Rapat,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
meja receptionist dr 01 1600,Meja Receptionist ,1,0.0,False,simple_random_walk,,,,,,,
meja receptionist dr 02 1600,Meja Receptionist ,1,0.0,False,simple_random_walk,,,,,,,
meja receptionist dr 03 1600,Meja Receptionist ,1,0.0,False,simple_random_walk,,,,,,,
meja receptionist dr 04 1600,Meja Receptionist ,2,0.3333331111112593,True,,0.5,False,False,True,True,18.0,1.0
meja resepsionis br 03,Meja Resepsionis,1,0.0,False,simple_random_walk,,,,,,,
